slpd,etpjd,minda,mindd,preca,precd,relha,relhd,sfmmd,tavea,tdaya,tmaxd,tmina,tmind,vpama,vpamd,road_dist,trail_dist,merge_dist,elevation,VETH
1.17,0.677931388,-13.82069892,-25.92252944,13.24354839,-5.186239119,17.20824373,-1.579704301,261.7727087,27.51702509,32.8389785,22.66324245,2.319175627,13.8624744,22.25788531,6.68265489,66,897,66,4366,0
1.17,0.677931388,-13.82069892,-25.92252944,13.24354839,-5.186239119,17.20824373,-1.579704301,261.7727087,27.51702509,32.8389785,22.66324245,2.319175627,13.8624744,22.25788531,6.68265489,51,921,51,4365,0
1.61,0.629134665,-7.438978495,-26.28093318,17.12526882,-7.044642857,17.93978495,-1.615399386,262.0891705,23.54668459,28.47688172,21.89382361,0.217831541,13.47281746,21.22562724,6.239919355,32,170,32,5216,0
1.61,0.629134665,-7.438978495,-26.28093318,17.12526882,-7.044642857,17.93978495,-1.615399386,262.0891705,23.54668459,28.47688172,21.89382361,0.217831541,13.47281746,21.22562724,6.239919355,29,200,29,5212,0
1.66,0.631912442,-7.560394265,-26.3452509,17.08718638,-7.02562724,17.92894265,-1.604269073,261.90681,23.57939068,28.51236559,21.89918075,0.236827957,13.47539683,21.23109319,6.245385305,27,230,27,5209,0
2.47,0.661821557,-11.85734767,-25.93357015,14.29023298,-5.697279826,17.3796595,-1.588978495,263.5481887,26.54829749,31.76962366,22.46811316,1.81827957,13.76847798,22.0046595,6.571082949,480,187,187,4575,0
2.42,0.661821557,-11.73405018,-25.91148874,14.2468638,-5.675198413,17.3687276,-1.586290323,264.5775922,26.5781362,31.81039427,22.47893625,1.829121864,13.77394393,22.01012545,6.576548899,463,163,163,4570,0
2.42,0.661821557,-11.73405018,-25.91148874,14.2468638,-5.675198413,17.3687276,-1.586290323,264.5775922,26.5781362,31.81039427,22.47893625,1.829121864,13.77394393,22.01012545,6.576548899,447,141,141,4567,0
1.17,0.677931388,-13.82069892,-25.92252944,13.24354839,-5.186239119,17.20824373,-1.579704301,261.7727087,27.51702509,32.8389785,22.66324245,2.319175627,13.8624744,22.25788531,6.68265489,57,855,57,4366,0
1.17,0.677931388,-13.82069892,-25.92252944,13.24354839,-5.186239119,17.20824373,-1.579704301,261.7727087,27.51702509,32.8389785,22.66324245,2.319175627,13.8624744,22.25788531,6.68265489,41,879,41,4366,0
1.17,0.677931388,-13.82069892,-25.92252944,13.24354839,-5.186239119,17.20824373,-1.579704301,261.7727087,27.51702509,32.8389785,22.66324245,2.319175627,13.8624744,22.25788531,6.68265489,25,903,25,4365,0
15.91,0.68077957,-14.35654122,-26.54438044,14.37437276,-5.724756784,17.40125448,-1.591577061,247.0050563,26.44202509,31.65250896,22.4438172,1.763799283,13.75507553,21.9718638,6.557571685,504,172,172,4588,0
13.76,0.678001792,-14.19336918,-26.42235023,14.2875448,-5.686059908,17.38781362,-1.594156426,252.3021185,26.52383513,31.73969534,22.46813236,1.799283154,13.77127496,21.99919355,6.56859319,488,146,146,4579,0
13.76,0.678001792,-14.19336918,-26.42235023,14.2875448,-5.686059908,17.38781362,-1.594156426,252.3021185,26.52383513,31.73969534,22.46813236,1.799283154,13.77127496,21.99919355,6.56859319,473,121,121,4573,0
1.7,0.669777266,-13.59247312,-25.66695469,13.22177419,-5.180664363,17.20546595,-1.582482079,263.119278,27.53073477,32.85537634,22.67148618,2.332706093,13.862564,22.26057348,6.679966718,31,837,31,4365,0
1.7,0.669777266,-13.59247312,-25.66695469,13.22177419,-5.180664363,17.20546595,-1.582482079,263.119278,27.53073477,32.85537634,22.67148618,2.332706093,13.862564,22.26057348,6.679966718,15,861,15,4365,0
1.7,0.669777266,-13.59247312,-25.66695469,13.22177419,-5.180664363,17.20546595,-1.582482079,263.119278,27.53073477,32.85537634,22.67148618,2.332706093,13.862564,22.26057348,6.679966718,0,885,0,4364,0
2.96,0.626446493,-7.566935484,-26.08794803,16.9139785,-6.934991039,17.90456989,-1.615380184,262.8041859,23.75080645,28.69740143,21.93390297,0.332168459,13.49973118,21.28557348,6.261584741,238,683,238,5190,0
2.96,0.626446493,-7.566935484,-26.08794803,16.9139785,-6.934991039,17.90456989,-1.615380184,262.8041859,23.75080645,28.69740143,21.93390297,0.332168459,13.49973118,21.28557348,6.261584741,266,713,266,5186,0
2.96,0.626446493,-7.566935484,-26.08794803,16.9139785,-6.934991039,17.90456989,-1.615380184,262.8041859,23.75080645,28.69740143,21.93390297,0.332168459,13.49973118,21.28557348,6.261584741,294,743,294,5180,0
15.91,0.68077957,-14.35654122,-26.54438044,14.37437276,-5.724756784,17.40125448,-1.591577061,247.0050563,26.44202509,31.65250896,22.4438172,1.763799283,13.75507553,21.9718638,6.557571685,529,160,160,4621,0
13.76,0.678001792,-14.19336918,-26.42235023,14.2875448,-5.686059908,17.38781362,-1.594156426,252.3021185,26.52383513,31.73969534,22.46813236,1.799283154,13.77127496,21.99919355,6.56859319,514,133,133,4604,0
13.76,0.678001792,-14.19336918,-26.42235023,14.2875448,-5.686059908,17.38781362,-1.594156426,252.3021185,26.52383513,31.73969534,22.46813236,1.799283154,13.77127496,21.99919355,6.56859319,499,105,105,4591,0
2.96,0.626446493,-7.566935484,-26.08794803,16.9139785,-6.934991039,17.90456989,-1.615380184,262.8041859,23.75080645,28.69740143,21.93390297,0.332168459,13.49973118,21.28557348,6.261584741,228,686,228,5188,0
2.96,0.626446493,-7.566935484,-26.08794803,16.9139785,-6.934991039,17.90456989,-1.615380184,262.8041859,23.75080645,28.69740143,21.93390297,0.332168459,13.49973118,21.28557348,6.261584741,257,716,257,5182,0
2.96,0.626446493,-7.566935484,-26.08794803,16.9139785,-6.934991039,17.90456989,-1.615380184,262.8041859,23.75080645,28.69740143,21.93390297,0.332168459,13.49973118,21.28557348,6.261584741,286,746,286,5176,0
1.96,0.631912442,-7.949193548,-26.23808884,16.86505376,-6.918465182,17.89641577,-1.615181772,261.8603943,23.81066308,28.76272401,21.94441884,0.370250896,13.49971198,21.29919355,6.269828469,221,691,221,5182,0
1.96,0.631912442,-7.949193548,-26.23808884,16.86505376,-6.918465182,17.89641577,-1.615181772,261.8603943,23.81066308,28.76272401,21.94441884,0.370250896,13.49971198,21.29919355,6.269828469,251,721,251,5169,0
1.96,0.631912442,-7.949193548,-26.23808884,16.86505376,-6.918465182,17.89641577,-1.615181772,261.8603943,23.81066308,28.76272401,21.94441884,0.370250896,13.49971198,21.29919355,6.269828469,281,750,281,5164,0
2.95,0.626446493,-6.977956989,-26.33200205,17.33629032,-7.179045059,17.96702509,-1.62375192,265.8185292,23.45967742,28.37087814,21.87777138,0.193369176,13.45910778,21.209319,6.228987455,857,297,297,5235,0
2.95,0.626446493,-6.977956989,-26.33200205,17.33629032,-7.179045059,17.96702509,-1.62375192,265.8185292,23.45967742,28.37087814,21.87777138,0.193369176,13.45910778,21.209319,6.228987455,832,291,291,5239,0
2.95,0.626446493,-6.977956989,-26.33200205,17.33629032,-7.179045059,17.96702509,-1.62375192,265.8185292,23.45967742,28.37087814,21.87777138,0.193369176,13.45910778,21.209319,6.228987455,807,287,287,5241,0
3.47,0.672555044,-13.57535842,-25.78880568,13.32222222,-5.219182028,17.22168459,-1.588236047,262.1725807,27.4734767,32.7874552,22.66077189,2.308154122,13.85998464,22.25232975,6.677099334,134,527,134,4378,0
2.49,0.675243216,-13.7265233,-25.85014721,13.25439068,-5.19719022,17.20815412,-1.579793907,261.2517729,27.53073477,32.84722222,22.66888761,2.340860215,13.87071813,22.26594982,6.685343062,118,550,118,4374,0
2.49,0.675243216,-13.7265233,-25.85014721,13.25439068,-5.19719022,17.20815412,-1.579793907,261.2517729,27.53073477,32.84722222,22.66888761,2.340860215,13.87071813,22.26594982,6.685343062,99,573,99,4369,0
2.95,0.626446493,-6.977956989,-26.33200205,17.33629032,-7.179045059,17.96702509,-1.62375192,265.8185292,23.45967742,28.37087814,21.87777138,0.193369176,13.45910778,21.209319,6.228987455,873,326,326,5233,0
2.95,0.626446493,-6.977956989,-26.33200205,17.33629032,-7.179045059,17.96702509,-1.62375192,265.8185292,23.45967742,28.37087814,21.87777138,0.193369176,13.45910778,21.209319,6.228987455,849,320,320,5237,0
